ID	Symbol	Type
4933401J01Rik	ENSMUSG00000102693	4933401J01Rik	Gene Expression
Xkr4	ENSMUSG00000051951	Xkr4	Gene Expression
Gm37180	ENSMUSG00000103377	Gm37180	Gene Expression
Gm38148	ENSMUSG00000103161	Gm38148	Gene Expression
Gm19938	ENSMUSG00000102331	Gm19938	Gene Expression
Gm38385	ENSMUSG00000102592	Gm38385	Gene Expression
Gm37381	ENSMUSG00000102343	Gm37381	Gene Expression
Rp1	ENSMUSG00000025900	Rp1	Gene Expression
Gm37483	ENSMUSG00000104123	Gm37483	Gene Expression
Sox17	ENSMUSG00000025902	Sox17	Gene Expression
Gm37587	ENSMUSG00000104238	Gm37587	Gene Expression
Gm7357	ENSMUSG00000102269	Gm7357	Gene Expression
Gm38076	ENSMUSG00000103003	Gm38076	Gene Expression
Gm37323	ENSMUSG00000104328	Gm37323	Gene Expression
Gm7369	ENSMUSG00000102735	Gm7369	Gene Expression
Gm6085	ENSMUSG00000098104	Gm6085	Gene Expression
Gm6119	ENSMUSG00000102175	Gm6119	Gene Expression
Gm2053	ENSMUSG00000103265	Gm2053	Gene Expression
Gm6123	ENSMUSG00000103922	Gm6123	Gene Expression
Mrpl15	ENSMUSG00000033845	Mrpl15	Gene Expression
Gm37144	ENSMUSG00000102275	Gm37144	Gene Expression
Lypla1	ENSMUSG00000025903	Lypla1	Gene Expression
Gm37988	ENSMUSG00000104217	Gm37988	Gene Expression
Tcea1	ENSMUSG00000033813	Tcea1	Gene Expression
Gm6104	ENSMUSG00000062588	Gm6104	Gene Expression
Gm37277	ENSMUSG00000103280	Gm37277	Gene Expression
Rgs20	ENSMUSG00000002459	Rgs20	Gene Expression
Gm37079	ENSMUSG00000102653	Gm37079	Gene Expression
Gm17101	ENSMUSG00000091665	Gm17101	Gene Expression
Atp6v1h	ENSMUSG00000033793	Atp6v1h	Gene Expression
Gm37567	ENSMUSG00000104046	Gm37567	Gene Expression
Gm37429	ENSMUSG00000103519	Gm37429	Gene Expression
Npbwr1	ENSMUSG00000033774	Npbwr1	Gene Expression
Rb1cc1	ENSMUSG00000025907	Rb1cc1	Gene Expression
4732440D04Rik	ENSMUSG00000090031	4732440D04Rik	Gene Expression
Gm7417	ENSMUSG00000102706	Gm7417	Gene Expression
Gm19026	ENSMUSG00000103845	Gm19026	Gene Expression
St18	ENSMUSG00000033740	St18	Gene Expression
Gm7449	ENSMUSG00000104385	Gm7449	Gene Expression
Gm37108	ENSMUSG00000102135	Gm37108	Gene Expression
Pcmtd1	ENSMUSG00000051285	Pcmtd1	Gene Expression
Gm38372	ENSMUSG00000103509	Gm38372	Gene Expression
Gm9826	ENSMUSG00000048538	Gm9826	Gene Expression
Gm26901	ENSMUSG00000097797	Gm26901	Gene Expression
Gm18984	ENSMUSG00000103498	Gm18984	Gene Expression
Gm30414	ENSMUSG00000103067	Gm30414	Gene Expression
Gm37791	ENSMUSG00000102320	Gm37791	Gene Expression
Sntg1	ENSMUSG00000025909	Sntg1	Gene Expression
Gm38024	ENSMUSG00000102647	Gm38024	Gene Expression
Gm16284	ENSMUSG00000086235	Gm16284	Gene Expression
Gm38259	ENSMUSG00000102253	Gm38259	Gene Expression
Gm37005	ENSMUSG00000103884	Gm37005	Gene Expression
Gm15452	ENSMUSG00000084353	Gm15452	Gene Expression
Gm36964	ENSMUSG00000103933	Gm36964	Gene Expression
Gm7512	ENSMUSG00000102272	Gm7512	Gene Expression
Gm18300	ENSMUSG00000103411	Gm18300	Gene Expression
Rrs1	ENSMUSG00000061024	Rrs1	Gene Expression
Adhfe1	ENSMUSG00000025911	Adhfe1	Gene Expression
2610203C22Rik	ENSMUSG00000079671	2610203C22Rik	Gene Expression
Vxn	ENSMUSG00000067879	Vxn	Gene Expression
Mybl1	ENSMUSG00000025912	Mybl1	Gene Expression
Vcpip1	ENSMUSG00000045210	Vcpip1	Gene Expression
1700034P13Rik	ENSMUSG00000097893	1700034P13Rik	Gene Expression
Sgk3	ENSMUSG00000025915	Sgk3	Gene Expression
Gm6195	ENSMUSG00000046334	Gm6195	Gene Expression
Mcmdc2	ENSMUSG00000046101	Mcmdc2	Gene Expression
Snhg6	ENSMUSG00000098234	Snhg6	Gene Expression
Tcf24	ENSMUSG00000099032	Tcf24	Gene Expression
E330040D14Rik	ENSMUSG00000104025	E330040D14Rik	Gene Expression
Ppp1r42	ENSMUSG00000025916	Ppp1r42	Gene Expression
Cops5	ENSMUSG00000025917	Cops5	Gene Expression
Cspp1	ENSMUSG00000056763	Cspp1	Gene Expression
1700047N06Rik	ENSMUSG00000102356	1700047N06Rik	Gene Expression
Arfgef1	ENSMUSG00000067851	Arfgef1	Gene Expression
Gm37569	ENSMUSG00000102556	Gm37569	Gene Expression
Cpa6	ENSMUSG00000042501	Cpa6	Gene Expression
Gm38005	ENSMUSG00000103810	Gm38005	Gene Expression
Gm15603	ENSMUSG00000081417	Gm15603	Gene Expression
Gm28659	ENSMUSG00000100648	Gm28659	Gene Expression
Prex2	ENSMUSG00000048960	Prex2	Gene Expression
Gm37410	ENSMUSG00000103494	Gm37410	Gene Expression
A830018L16Rik	ENSMUSG00000057715	A830018L16Rik	Gene Expression
Gm38178	ENSMUSG00000103825	Gm38178	Gene Expression
Gm38069	ENSMUSG00000103561	Gm38069	Gene Expression
Gm22633	ENSMUSG00000093864	Gm22633	Gene Expression
Gm17644	ENSMUSG00000097171	Gm17644	Gene Expression
Gm29663	ENSMUSG00000101314	Gm29663	Gene Expression
Sulf1	ENSMUSG00000016918	Sulf1	Gene Expression
Slco5a1	ENSMUSG00000025938	Slco5a1	Gene Expression
Gm29283	ENSMUSG00000099498	Gm29283	Gene Expression
Prdm14	ENSMUSG00000042414	Prdm14	Gene Expression
Ncoa2	ENSMUSG00000005886	Ncoa2	Gene Expression
Gm38376	ENSMUSG00000103506	Gm38376	Gene Expression
Gm37409	ENSMUSG00000103495	Gm37409	Gene Expression
Gm38223	ENSMUSG00000102639	Gm38223	Gene Expression
Gm37702	ENSMUSG00000104170	Gm37702	Gene Expression
Gm38120	ENSMUSG00000103085	Gm38120	Gene Expression
Gm38380	ENSMUSG00000102664	Gm38380	Gene Expression
