,gene,chrom
0,0610005C13Rik,chr7
2,0610007P14Rik,chr12
4,0610009B22Rik,chr11
6,0610009L18Rik,chr11
8,0610009O20Rik,chr18
10,0610010F05Rik,chr11
12,0610012G03Rik,chr16
14,0610031J06Rik,chr3
16,0610037L13Rik,chr4
18,0610038B21Rik,chr8
20,0610040B10Rik,chr5
22,1110001J03Rik,chr6
24,1110002L01Rik,chr12
26,1110004E09Rik,chr16
28,1110006O24Rik,chr5
30,1110007C09Rik,chr13
32,1110008L16Rik,chr12
34,1110012L19Rik,chrX
36,1110020A21Rik,chr17
38,1110032A03Rik,chr9
40,1110034G24Rik,chr2
42,1110037F02Rik,chr4
44,1110038B12Rik,chr17
46,1110038F14Rik,chr15
48,1110051M20Rik,chr2
50,1110054M08Rik,chr16
52,1110057K04Rik,chr12
54,1110058L19Rik,chr1
56,1110059E24Rik,chr19
58,1110059G10Rik,chr9
60,1190002N15Rik,chr9
62,1190005I06Rik,chr8
64,1190007I07Rik,chr10
66,1300002E11Rik,chr16
68,1500009L16Rik,chr10
70,1500011B03Rik,chr5
72,1500012F01Rik,chr2
74,1500015A07Rik,chr18
76,1500015O10Rik,chr1
78,1600012H06Rik,chr17
80,1600014C10Rik,chr7
82,1600020E01Rik,chr6
84,1700001G11Rik,chr14
86,1700001L05Rik,chr15
88,1700003E16Rik,chr6
90,1700003F12Rik,chr2
92,1700003M07Rik,chr4
94,1700009P17Rik,chr1
96,1700010I14Rik,chr17
98,1700012B09Rik,chr9
100,1700012D14Rik,chr7
102,1700017B05Rik,chr9
104,1700018L02Rik,chr19
106,1700020I14Rik,chr2
108,1700021F05Rik,chr10
110,1700021K19Rik,chr16
112,1700024P16Rik,chr4
114,1700025G04Rik,chr1
116,1700026L06Rik,chr2
118,1700028I16Rik,chr10
120,1700028J19Rik,chr7
122,1700028K03Rik,chr5
124,1700029J07Rik,chr8
126,1700030J22Rik,chr8
128,1700030K09Rik,chr8
130,1700034F02Rik,chr11
132,1700037C18Rik,chr16
134,1700037H04Rik,chr2
136,1700048O20Rik,chr9
138,1700049G17Rik,chr7
140,1700052K11Rik,chr11
142,1700052N19Rik,chr10
144,1700056E22Rik,chr1
146,1700061G19Rik,chr17
148,1700066M21Rik,chr1
150,1700067K01Rik,chr8
152,1700086O06Rik,chr18
154,1700088E04Rik,chr15
156,1700092M07Rik,chr19
158,1700094D03Rik,chr3
160,1700096K18Rik,chr5
162,1700102P08Rik,chr9
164,1700112E06Rik,chr14
166,1700123M08Rik,chr4
168,1700123O20Rik,chr14
170,1700125H03Rik,chr8
172,1700125H20Rik,chr11
174,1810009A15Rik,chr19
176,1810010H24Rik,chr11
178,1810011O10Rik,chr8
180,1810013L24Rik,chr16
182,1810014B01Rik,chr10
184,1810024B03Rik,chr2
186,1810026B05Rik,chr7
188,1810026J23Rik,chr9
190,1810030O07Rik,chrX
192,1810032O08Rik,chr11
194,1810037I17Rik,chr3
196,1810043G02Rik,chr10
198,1810043H04Rik,chr11
200,1810055G02Rik,chr19
202,1810058I24Rik,chr6
204,1810062G17Rik,chr3
206,1810062O18Rik,chr14
208,2010012O05Rik,chr19
210,2010107E04Rik,chr12
212,2010107G23Rik,chr10
214,2010111I01Rik,chr13
216,2200002D01Rik,chr7
218,2210013O21Rik,chrX
220,2210015D19Rik,chr11
222,2210016F16Rik,chr13
224,2210016L21Rik,chr5
226,2210018M11Rik,chr7
228,2210408F21Rik,chr6
230,2210408I21Rik,chr13
232,2300009A05Rik,chr9
234,2310001H17Rik,chr6
236,2310003H01Rik,chr11
238,2310009A05Rik,chr9
240,2310009B15Rik,chr1
242,2310011J03Rik,chr10
244,2310014L17Rik,chr7
246,2310022A10Rik,chr7
248,2310022B05Rik,chr8
250,2310033P09Rik,chr11
252,2310035C23Rik,chr1
254,2310039H08Rik,chr17
256,2310040G24Rik,chr6
258,2310047M10Rik,chr11
260,2310057M21Rik,chr7
